lat,lon,B_Gauss,L_8R_3_dE_n,Flux_cm_u-2_s_u-1_50MeV
 -89.000, -180.000,  3.2747E-01,  1.8891E+01,  0.0000E+00
 -89.000, -177.000,  3.2740E-01,  1.8779E+01,  0.0000E+00
 -89.000, -174.000,  3.2733E-01,  1.8663E+01,  0.0000E+00
 -89.000, -171.000,  3.2724E-01,  1.8546E+01,  0.0000E+00
 -89.000, -168.000,  3.2715E-01,  1.8426E+01,  0.0000E+00
 -89.000, -165.000,  3.2705E-01,  1.8305E+01,  0.0000E+00
 -89.000, -162.000,  3.2694E-01,  1.8184E+01,  0.0000E+00
 -89.000, -159.000,  3.2683E-01,  1.8062E+01,  0.0000E+00
 -89.000, -156.000,  3.2671E-01,  1.7940E+01,  0.0000E+00
 -89.000, -153.000,  3.2659E-01,  1.7820E+01,  0.0000E+00
 -89.000, -150.000,  3.2646E-01,  1.7700E+01,  0.0000E+00
 -89.000, -147.000,  3.2632E-01,  1.7581E+01,  0.0000E+00
 -89.000, -144.000,  3.2618E-01,  1.7463E+01,  0.0000E+00
 -89.000, -141.000,  3.2603E-01,  1.7348E+01,  0.0000E+00
 -89.000, -138.000,  3.2588E-01,  1.7234E+01,  0.0000E+00
 -89.000, -135.000,  3.2573E-01,  1.7124E+01,  0.0000E+00
 -89.000, -132.000,  3.2557E-01,  1.7015E+01,  0.0000E+00
 -89.000, -129.000,  3.2542E-01,  1.6909E+01,  0.0000E+00
 -89.000, -126.000,  3.2525E-01,  1.6807E+01,  0.0000E+00
 -89.000, -123.000,  3.2509E-01,  1.6707E+01,  0.0000E+00
 -89.000, -120.000,  3.2492E-01,  1.6610E+01,  0.0000E+00
 -89.000, -117.000,  3.2476E-01,  1.6518E+01,  0.0000E+00
 -89.000, -114.000,  3.2459E-01,  1.6429E+01,  0.0000E+00
 -89.000, -111.000,  3.2442E-01,  1.6344E+01,  0.0000E+00
 -89.000, -108.000,  3.2425E-01,  1.6263E+01,  0.0000E+00
 -89.000, -105.000,  3.2409E-01,  1.6186E+01,  0.0000E+00
 -89.000, -102.000,  3.2392E-01,  1.6114E+01,  0.0000E+00
 -89.000,  -99.000,  3.2376E-01,  1.6045E+01,  0.0000E+00
 -89.000,  -96.000,  3.2360E-01,  1.5982E+01,  0.0000E+00
 -89.000,  -93.000,  3.2344E-01,  1.5922E+01,  0.0000E+00
 -89.000,  -90.000,  3.2328E-01,  1.5868E+01,  0.0000E+00
 -89.000,  -87.000,  3.2313E-01,  1.5817E+01,  0.0000E+00
 -89.000,  -84.000,  3.2298E-01,  1.5771E+01,  0.0000E+00
 -89.000,  -81.000,  3.2283E-01,  1.5730E+01,  0.0000E+00
 -89.000,  -78.000,  3.2269E-01,  1.5694E+01,  0.0000E+00
 -89.000,  -75.000,  3.2255E-01,  1.5662E+01,  0.0000E+00
