lat,lon,B_Gauss,L_8R_3_dE_n,Flux_cm_u-2_s_u-1_50MeV
 -89.000, -180.000,  4.1057E-01,  1.6721E+01,  0.0000E+00
 -89.000, -177.000,  4.1049E-01,  1.6625E+01,  0.0000E+00
 -89.000, -174.000,  4.1039E-01,  1.6527E+01,  0.0000E+00
 -89.000, -171.000,  4.1029E-01,  1.6425E+01,  0.0000E+00
 -89.000, -168.000,  4.1017E-01,  1.6322E+01,  0.0000E+00
 -89.000, -165.000,  4.1004E-01,  1.6219E+01,  0.0000E+00
 -89.000, -162.000,  4.0991E-01,  1.6114E+01,  0.0000E+00
 -89.000, -159.000,  4.0976E-01,  1.6009E+01,  0.0000E+00
 -89.000, -156.000,  4.0961E-01,  1.5904E+01,  0.0000E+00
 -89.000, -153.000,  4.0944E-01,  1.5800E+01,  0.0000E+00
 -89.000, -150.000,  4.0927E-01,  1.5695E+01,  0.0000E+00
 -89.000, -147.000,  4.0909E-01,  1.5592E+01,  0.0000E+00
 -89.000, -144.000,  4.0890E-01,  1.5491E+01,  0.0000E+00
 -89.000, -141.000,  4.0871E-01,  1.5390E+01,  0.0000E+00
 -89.000, -138.000,  4.0851E-01,  1.5291E+01,  0.0000E+00
 -89.000, -135.000,  4.0830E-01,  1.5194E+01,  0.0000E+00
 -89.000, -132.000,  4.0809E-01,  1.5099E+01,  0.0000E+00
 -89.000, -129.000,  4.0788E-01,  1.5006E+01,  0.0000E+00
 -89.000, -126.000,  4.0766E-01,  1.4916E+01,  0.0000E+00
 -89.000, -123.000,  4.0744E-01,  1.4829E+01,  0.0000E+00
 -89.000, -120.000,  4.0721E-01,  1.4744E+01,  0.0000E+00
 -89.000, -117.000,  4.0698E-01,  1.4663E+01,  0.0000E+00
 -89.000, -114.000,  4.0675E-01,  1.4585E+01,  0.0000E+00
 -89.000, -111.000,  4.0652E-01,  1.4509E+01,  0.0000E+00
 -89.000, -108.000,  4.0629E-01,  1.4437E+01,  0.0000E+00
 -89.000, -105.000,  4.0606E-01,  1.4369E+01,  0.0000E+00
 -89.000, -102.000,  4.0583E-01,  1.4305E+01,  0.0000E+00
 -89.000,  -99.000,  4.0561E-01,  1.4244E+01,  0.0000E+00
 -89.000,  -96.000,  4.0538E-01,  1.4186E+01,  0.0000E+00
 -89.000,  -93.000,  4.0516E-01,  1.4133E+01,  0.0000E+00
 -89.000,  -90.000,  4.0494E-01,  1.4084E+01,  0.0000E+00
 -89.000,  -87.000,  4.0472E-01,  1.4038E+01,  0.0000E+00
 -89.000,  -84.000,  4.0451E-01,  1.3997E+01,  0.0000E+00
 -89.000,  -81.000,  4.0431E-01,  1.3959E+01,  0.0000E+00
 -89.000,  -78.000,  4.0411E-01,  1.3926E+01,  0.0000E+00
 -89.000,  -75.000,  4.0392E-01,  1.3896E+01,  0.0000E+00
 -89.000,  -72.000,  4.0373E-01,  1.3871E+01,  0.0000E+00
 -89.000,  -69.000,  4.0355E-01,  1.3850E+01,  0.0000E+00
 -89.000,  -66.000,  4.0338E-01,  1.3833E+01,  0.0000E+00
 -89.000,  -63.000,  4.0321E-01,  1.3820E+01,  0.0000E+00
 -89.000,  -60.000,  4.0306E-01,  1.3812E+01,  0.0000E+00
 -89.000,  -57.000,  4.0291E-01,  1.3808E+01,  0.0000E+00
 -89.000,  -54.000,  4.0278E-01,  1.3808E+01,  0.0000E+00
 -89.000,  -51.000,  4.0265E-01,  1.3812E+01,  0.0000E+00
 -89.000,  -48.000,  4.0254E-01,  1.3820E+01,  0.0000E+00
 -89.000,  -45.000,  4.0243E-01,  1.3833E+01,  0.0000E+00
 -89.000,  -42.000,  4.0234E-01,  1.3849E+01,  0.0000E+00
 -89.000,  -39.000,  4.0225E-01,  1.3870E+01,  0.0000E+00
 -89.000,  -36.000,  4.0218E-01,  1.3895E+01,  0.0000E+00
 -89.000,  -33.000,  4.0212E-01,  1.3924E+01,  0.0000E+00
 -89.000,  -30.000,  4.0207E-01,  1.3957E+01,  0.0000E+00
 -89.000,  -27.000,  4.0203E-01,  1.3994E+01,  0.0000E+00
 -89.000,  -24.000,  4.0201E-01,  1.4035E+01,  0.0000E+00
 -89.000,  -21.000,  4.0200E-01,  1.4080E+01,  0.0000E+00
 -89.000,  -18.000,  4.0199E-01,  1.4129E+01,  0.0000E+00
 -89.000,  -15.000,  4.0201E-01,  1.4182E+01,  0.0000E+00
 -89.000,  -12.000,  4.0203E-01,  1.4238E+01,  0.0000E+00
 -89.000,   -9.000,  4.0206E-01,  1.4298E+01,  0.0000E+00
 -89.000,   -6.000,  4.0211E-01,  1.4362E+01,  0.0000E+00
 -89.000,   -3.000,  4.0217E-01,  1.4429E+01,  0.0000E+00
 -89.000,    0.000,  4.0224E-01,  1.4501E+01,  0.0000E+00
 -89.000,    3.000,  4.0232E-01,  1.4575E+01,  0.0000E+00
 -89.000,    6.000,  4.0242E-01,  1.4652E+01,  0.0000E+00
 -89.000,    9.000,  4.0252E-01,  1.4733E+01,  0.0000E+00
 -89.000,   12.000,  4.0264E-01,  1.4817E+01,  0.0000E+00
 -89.000,   15.000,  4.0276E-01,  1.4902E+01,  0.0000E+00
 -89.000,   18.000,  4.0290E-01,  1.4991E+01,  0.0000E+00
 -89.000,   21.000,  4.0305E-01,  1.5083E+01,  0.0000E+00
 -89.000,   24.000,  4.0320E-01,  1.5177E+01,  0.0000E+00
 -89.000,   27.000,  4.0336E-01,  1.5274E+01,  0.0000E+00
 -89.000,   30.000,  4.0354E-01,  1.5372E+01,  0.0000E+00
 -89.000,   33.000,  4.0372E-01,  1.5472E+01,  0.0000E+00
 -89.000,   36.000,  4.0391E-01,  1.5573E+01,  0.0000E+00
 -89.000,   39.000,  4.0410E-01,  1.5676E+01,  0.0000E+00
