lat,lon,B_Gauss,L_8R_3_dE_n,Flux_cm_u-2_s_u-1_50MeV
 -89.000, -180.000,  3.5476E-01,  1.8099E+01,  0.0000E+00
 -89.000, -177.000,  3.5469E-01,  1.7993E+01,  0.0000E+00
 -89.000, -174.000,  3.5461E-01,  1.7884E+01,  0.0000E+00
 -89.000, -171.000,  3.5451E-01,  1.7772E+01,  0.0000E+00
 -89.000, -168.000,  3.5441E-01,  1.7659E+01,  0.0000E+00
 -89.000, -165.000,  3.5431E-01,  1.7544E+01,  0.0000E+00
 -89.000, -162.000,  3.5419E-01,  1.7428E+01,  0.0000E+00
 -89.000, -159.000,  3.5407E-01,  1.7313E+01,  0.0000E+00
 -89.000, -156.000,  3.5394E-01,  1.7198E+01,  0.0000E+00
 -89.000, -153.000,  3.5380E-01,  1.7083E+01,  0.0000E+00
 -89.000, -150.000,  3.5365E-01,  1.6968E+01,  0.0000E+00
 -89.000, -147.000,  3.5350E-01,  1.6856E+01,  0.0000E+00
 -89.000, -144.000,  3.5335E-01,  1.6744E+01,  0.0000E+00
 -89.000, -141.000,  3.5319E-01,  1.6634E+01,  0.0000E+00
 -89.000, -138.000,  3.5302E-01,  1.6526E+01,  0.0000E+00
 -89.000, -135.000,  3.5285E-01,  1.6419E+01,  0.0000E+00
 -89.000, -132.000,  3.5268E-01,  1.6316E+01,  0.0000E+00
 -89.000, -129.000,  3.5250E-01,  1.6215E+01,  0.0000E+00
 -89.000, -126.000,  3.5232E-01,  1.6117E+01,  0.0000E+00
 -89.000, -123.000,  3.5214E-01,  1.6022E+01,  0.0000E+00
 -89.000, -120.000,  3.5195E-01,  1.5931E+01,  0.0000E+00
 -89.000, -117.000,  3.5177E-01,  1.5841E+01,  0.0000E+00
 -89.000, -114.000,  3.5158E-01,  1.5756E+01,  0.0000E+00
 -89.000, -111.000,  3.5139E-01,  1.5675E+01,  0.0000E+00
 -89.000, -108.000,  3.5120E-01,  1.5598E+01,  0.0000E+00
 -89.000, -105.000,  3.5102E-01,  1.5524E+01,  0.0000E+00
 -89.000, -102.000,  3.5083E-01,  1.5454E+01,  0.0000E+00
 -89.000,  -99.000,  3.5065E-01,  1.5388E+01,  0.0000E+00
 -89.000,  -96.000,  3.5046E-01,  1.5328E+01,  0.0000E+00
 -89.000,  -93.000,  3.5028E-01,  1.5270E+01,  0.0000E+00
 -89.000,  -90.000,  3.5011E-01,  1.5217E+01,  0.0000E+00
 -89.000,  -87.000,  3.4994E-01,  1.5169E+01,  0.0000E+00
 -89.000,  -84.000,  3.4977E-01,  1.5124E+01,  0.0000E+00
 -89.000,  -81.000,  3.4960E-01,  1.5085E+01,  0.0000E+00
 -89.000,  -78.000,  3.4944E-01,  1.5049E+01,  0.0000E+00
