lat,lon,B_Gauss,L_8R_3_dE_n,Flux_cm_u-2_s_u-1_50MeV
 -89.000, -180.000,  5.0174E-01,  1.4966E+01,  0.0000E+00
 -89.000, -177.000,  5.0164E-01,  1.4883E+01,  0.0000E+00
 -89.000, -174.000,  5.0153E-01,  1.4796E+01,  0.0000E+00
 -89.000, -171.000,  5.0140E-01,  1.4709E+01,  0.0000E+00
 -89.000, -168.000,  5.0126E-01,  1.4620E+01,  0.0000E+00
 -89.000, -165.000,  5.0110E-01,  1.4529E+01,  0.0000E+00
 -89.000, -162.000,  5.0093E-01,  1.4438E+01,  0.0000E+00
 -89.000, -159.000,  5.0074E-01,  1.4347E+01,  0.0000E+00
 -89.000, -156.000,  5.0055E-01,  1.4255E+01,  0.0000E+00
 -89.000, -153.000,  5.0034E-01,  1.4163E+01,  0.0000E+00
 -89.000, -150.000,  5.0012E-01,  1.4072E+01,  0.0000E+00
 -89.000, -147.000,  4.9989E-01,  1.3982E+01,  0.0000E+00
 -89.000, -144.000,  4.9965E-01,  1.3892E+01,  0.0000E+00
 -89.000, -141.000,  4.9940E-01,  1.3803E+01,  0.0000E+00
 -89.000, -138.000,  4.9914E-01,  1.3716E+01,  0.0000E+00
 -89.000, -135.000,  4.9888E-01,  1.3631E+01,  0.0000E+00
 -89.000, -132.000,  4.9860E-01,  1.3546E+01,  0.0000E+00
 -89.000, -129.000,  4.9832E-01,  1.3464E+01,  0.0000E+00
 -89.000, -126.000,  4.9803E-01,  1.3385E+01,  0.0000E+00
 -89.000, -123.000,  4.9774E-01,  1.3307E+01,  0.0000E+00
 -89.000, -120.000,  4.9745E-01,  1.3231E+01,  0.0000E+00
 -89.000, -117.000,  4.9715E-01,  1.3159E+01,  0.0000E+00
 -89.000, -114.000,  4.9684E-01,  1.3090E+01,  0.0000E+00
 -89.000, -111.000,  4.9654E-01,  1.3022E+01,  0.0000E+00
 -89.000, -108.000,  4.9624E-01,  1.2958E+01,  0.0000E+00
 -89.000, -105.000,  4.9593E-01,  1.2896E+01,  0.0000E+00
 -89.000, -102.000,  4.9562E-01,  1.2838E+01,  0.0000E+00
 -89.000,  -99.000,  4.9532E-01,  1.2784E+01,  0.0000E+00
 -89.000,  -96.000,  4.9502E-01,  1.2732E+01,  0.0000E+00
 -89.000,  -93.000,  4.9472E-01,  1.2683E+01,  0.0000E+00
 -89.000,  -90.000,  4.9443E-01,  1.2638E+01,  0.0000E+00
 -89.000,  -87.000,  4.9414E-01,  1.2596E+01,  0.0000E+00
 -89.000,  -84.000,  4.9385E-01,  1.2558E+01,  0.0000E+00
