lat,lon,B_Gauss,L_8R_3_dE_n,Flux_cm_u-2_s_u-1_50MeV
 -89.000, -180.000,  3.2110E-01,  1.9089E+01,  0.0000E+00
 -89.000, -177.000,  3.2103E-01,  1.8976E+01,  0.0000E+00
 -89.000, -174.000,  3.2096E-01,  1.8859E+01,  0.0000E+00
 -89.000, -171.000,  3.2087E-01,  1.8739E+01,  0.0000E+00
 -89.000, -168.000,  3.2078E-01,  1.8618E+01,  0.0000E+00
 -89.000, -165.000,  3.2069E-01,  1.8496E+01,  0.0000E+00
 -89.000, -162.000,  3.2058E-01,  1.8373E+01,  0.0000E+00
 -89.000, -159.000,  3.2047E-01,  1.8250E+01,  0.0000E+00
 -89.000, -156.000,  3.2036E-01,  1.8127E+01,  0.0000E+00
 -89.000, -153.000,  3.2023E-01,  1.8004E+01,  0.0000E+00
 -89.000, -150.000,  3.2011E-01,  1.7883E+01,  0.0000E+00
 -89.000, -147.000,  3.1997E-01,  1.7763E+01,  0.0000E+00
 -89.000, -144.000,  3.1984E-01,  1.7643E+01,  0.0000E+00
 -89.000, -141.000,  3.1970E-01,  1.7527E+01,  0.0000E+00
 -89.000, -138.000,  3.1955E-01,  1.7412E+01,  0.0000E+00
 -89.000, -135.000,  3.1940E-01,  1.7299E+01,  0.0000E+00
 -89.000, -132.000,  3.1925E-01,  1.7190E+01,  0.0000E+00
 -89.000, -129.000,  3.1909E-01,  1.7083E+01,  0.0000E+00
 -89.000, -126.000,  3.1893E-01,  1.6979E+01,  0.0000E+00
 -89.000, -123.000,  3.1877E-01,  1.6878E+01,  0.0000E+00
 -89.000, -120.000,  3.1861E-01,  1.6781E+01,  0.0000E+00
 -89.000, -117.000,  3.1845E-01,  1.6687E+01,  0.0000E+00
 -89.000, -114.000,  3.1829E-01,  1.6598E+01,  0.0000E+00
 -89.000, -111.000,  3.1812E-01,  1.6512E+01,  0.0000E+00
 -89.000, -108.000,  3.1796E-01,  1.6430E+01,  0.0000E+00
 -89.000, -105.000,  3.1780E-01,  1.6352E+01,  0.0000E+00
 -89.000, -102.000,  3.1764E-01,  1.6279E+01,  0.0000E+00
 -89.000,  -99.000,  3.1748E-01,  1.6210E+01,  0.0000E+00
 -89.000,  -96.000,  3.1732E-01,  1.6146E+01,  0.0000E+00
 -89.000,  -93.000,  3.1717E-01,  1.6086E+01,  0.0000E+00
 -89.000,  -90.000,  3.1701E-01,  1.6031E+01,  0.0000E+00
 -89.000,  -87.000,  3.1686E-01,  1.5980E+01,  0.0000E+00
 -89.000,  -84.000,  3.1672E-01,  1.5934E+01,  0.0000E+00
 -89.000,  -81.000,  3.1658E-01,  1.5892E+01,  0.0000E+00
 -89.000,  -78.000,  3.1644E-01,  1.5855E+01,  0.0000E+00
 -89.000,  -75.000,  3.1631E-01,  1.5823E+01,  0.0000E+00
 -89.000,  -72.000,  3.1618E-01,  1.5796E+01,  0.0000E+00
 -89.000,  -69.000,  3.1606E-01,  1.5774E+01,  0.0000E+00
 -89.000,  -66.000,  3.1594E-01,  1.5757E+01,  0.0000E+00
 -89.000,  -63.000,  3.1584E-01,  1.5745E+01,  0.0000E+00
 -89.000,  -60.000,  3.1573E-01,  1.5738E+01,  0.0000E+00
 -89.000,  -57.000,  3.1564E-01,  1.5735E+01,  0.0000E+00
 -89.000,  -54.000,  3.1555E-01,  1.5738E+01,  0.0000E+00
 -89.000,  -51.000,  3.1546E-01,  1.5745E+01,  0.0000E+00
 -89.000,  -48.000,  3.1539E-01,  1.5757E+01,  0.0000E+00
 -89.000,  -45.000,  3.1532E-01,  1.5774E+01,  0.0000E+00
 -89.000,  -42.000,  3.1526E-01,  1.5796E+01,  0.0000E+00
 -89.000,  -39.000,  3.1521E-01,  1.5823E+01,  0.0000E+00
 -89.000,  -36.000,  3.1517E-01,  1.5854E+01,  0.0000E+00
 -89.000,  -33.000,  3.1514E-01,  1.5890E+01,  0.0000E+00
 -89.000,  -30.000,  3.1511E-01,  1.5931E+01,  0.0000E+00
 -89.000,  -27.000,  3.1509E-01,  1.5977E+01,  0.0000E+00
 -89.000,  -24.000,  3.1508E-01,  1.6028E+01,  0.0000E+00
 -89.000,  -21.000,  3.1508E-01,  1.6083E+01,  0.0000E+00
 -89.000,  -18.000,  3.1509E-01,  1.6142E+01,  0.0000E+00
 -89.000,  -15.000,  3.1511E-01,  1.6206E+01,  0.0000E+00
 -89.000,  -12.000,  3.1513E-01,  1.6274E+01,  0.0000E+00
 -89.000,   -9.000,  3.1517E-01,  1.6347E+01,  0.0000E+00
 -89.000,   -6.000,  3.1521E-01,  1.6424E+01,  0.0000E+00
 -89.000,   -3.000,  3.1526E-01,  1.6505E+01,  0.0000E+00
 -89.000,    0.000,  3.1532E-01,  1.6590E+01,  0.0000E+00
 -89.000,    3.000,  3.1538E-01,  1.6679E+01,  0.0000E+00
 -89.000,    6.000,  3.1546E-01,  1.6772E+01,  0.0000E+00
 -89.000,    9.000,  3.1554E-01,  1.6868E+01,  0.0000E+00
 -89.000,   12.000,  3.1563E-01,  1.6967E+01,  0.0000E+00
 -89.000,   15.000,  3.1573E-01,  1.7071E+01,  0.0000E+00
 -89.000,   18.000,  3.1583E-01,  1.7176E+01,  0.0000E+00
 -89.000,   21.000,  3.1594E-01,  1.7285E+01,  0.0000E+00
 -89.000,   24.000,  3.1605E-01,  1.7397E+01,  0.0000E+00
 -89.000,   27.000,  3.1618E-01,  1.7511E+01,  0.0000E+00
 -89.000,   30.000,  3.1630E-01,  1.7628E+01,  0.0000E+00
 -89.000,   33.000,  3.1644E-01,  1.7746E+01,  0.0000E+00
 -89.000,   36.000,  3.1658E-01,  1.7866E+01,  0.0000E+00
 -89.000,   39.000,  3.1672E-01,  1.7988E+01,  0.0000E+00
 -89.000,   42.000,  3.1686E-01,  1.8109E+01,  0.0000E+00
 -89.000,   45.000,  3.1702E-01,  1.8232E+01,  0.0000E+00
 -89.000,   48.000,  3.1717E-01,  1.8356E+01,  0.0000E+00
 -89.000,   51.000,  3.1733E-01,  1.8478E+01,  0.0000E+00
 -89.000,   54.000,  3.1748E-01,  1.8601E+01,  0.0000E+00
 -89.000,   57.000,  3.1765E-01,  1.8722E+01,  0.0000E+00
 -89.000,   60.000,  3.1781E-01,  1.8843E+01,  0.0000E+00
 -89.000,   63.000,  3.1797E-01,  1.8962E+01,  0.0000E+00
 -89.000,   66.000,  3.1814E-01,  1.9079E+01,  0.0000E+00
 -89.000,   69.000,  3.1830E-01,  1.9193E+01,  0.0000E+00
 -89.000,   72.000,  3.1847E-01,  1.9305E+01,  0.0000E+00
 -89.000,   75.000,  3.1863E-01,  1.9412E+01,  0.0000E+00
 -89.000,   78.000,  3.1879E-01,  1.9516E+01,  0.0000E+00
 -89.000,   81.000,  3.1895E-01,  1.9617E+01,  0.0000E+00
 -89.000,   84.000,  3.1911E-01,  1.9712E+01,  0.0000E+00
 -89.000,   87.000,  3.1927E-01,  1.9802E+01,  0.0000E+00
 -89.000,   90.000,  3.1942E-01,  1.9886E+01,  0.0000E+00
 -89.000,   93.000,  3.1957E-01,  1.9966E+01,  0.0000E+00
 -89.000,   96.000,  3.1972E-01,  2.0038E+01,  0.0000E+00
 -89.000,   99.000,  3.1986E-01,  2.0104E+01,  0.0000E+00
 -89.000,  102.000,  3.2000E-01,  2.0163E+01,  0.0000E+00
 -89.000,  105.000,  3.2013E-01,  2.0214E+01,  0.0000E+00
 -89.000,  108.000,  3.2026E-01,  2.0256E+01,  0.0000E+00
 -89.000,  111.000,  3.2038E-01,  2.0284E+01,  0.0000E+00
 -89.000,  114.000,  3.2050E-01,  2.0291E+01,  0.0000E+00
 -89.000,  117.000,  3.2061E-01,  2.0238E+01,  0.0000E+00
 -89.000,  120.000,  3.2071E-01,  1.9999E+01,  0.0000E+00
 -89.000,  123.000,  3.2081E-01,  1.9710E+01,  0.0000E+00
 -89.000,  126.000,  3.2090E-01,  1.9834E+01,  0.0000E+00
 -89.000,  129.000,  3.2098E-01,  2.0254E+01,  0.0000E+00
 -89.000,  132.000,  3.2105E-01,  2.0776E+01,  0.0000E+00
 -89.000,  135.000,  3.2112E-01,  2.2162E+01,  0.0000E+00
 -89.000,  138.000,  3.2117E-01,  2.5138E+01,  0.0000E+00
 -89.000,  141.000,  3.2122E-01,  2.5348E+01,  0.0000E+00
 -89.000,  144.000,  3.2126E-01,  2.1225E+01,  0.0000E+00
 -89.000,  147.000,  3.2130E-01,  2.1488E+01,  0.0000E+00
 -89.000,  150.000,  3.2132E-01,  2.2389E+01,  0.0000E+00
 -89.000,  153.000,  3.2134E-01,  2.0941E+01,  0.0000E+00
 -89.000,  156.000,  3.2135E-01,  2.0443E+01,  0.0000E+00
 -89.000,  159.000,  3.2134E-01,  1.9688E+01,  0.0000E+00
 -89.000,  162.000,  3.2133E-01,  1.9218E+01,  0.0000E+00
 -89.000,  165.000,  3.2132E-01,  1.9350E+01,  0.0000E+00
 -89.000,  168.000,  3.2129E-01,  1.9406E+01,  0.0000E+00
 -89.000,  171.000,  3.2125E-01,  1.9371E+01,  0.0000E+00
 -89.000,  174.000,  3.2121E-01,  1.9293E+01,  0.0000E+00
 -89.000,  177.000,  3.2116E-01,  1.9197E+01,  0.0000E+00
 -89.000,  180.000,  3.2110E-01,  1.9089E+01,  0.0000E+00
 -87.000, -180.000,  3.2648E-01,  2.1672E+01,  0.0000E+00
 -87.000, -177.000,  3.2627E-01,  2.1229E+01,  0.0000E+00
 -87.000, -174.000,  3.2604E-01,  2.0791E+01,  0.0000E+00
 -87.000, -171.000,  3.2579E-01,  2.0359E+01,  0.0000E+00
 -87.000, -168.000,  3.2552E-01,  1.9934E+01,  0.0000E+00
 -87.000, -165.000,  3.2523E-01,  1.9517E+01,  0.0000E+00
