lat,lon,B_Gauss,L_8R_3_dE_n,Flux_cm_u-2_s_u-1_50MeV
 -89.000, -180.000,  4.5809E-01,  1.5743E+01,  0.0000E+00
 -89.000, -177.000,  4.5800E-01,  1.5655E+01,  0.0000E+00
 -89.000, -174.000,  4.5789E-01,  1.5564E+01,  0.0000E+00
 -89.000, -171.000,  4.5778E-01,  1.5470E+01,  0.0000E+00
 -89.000, -168.000,  4.5764E-01,  1.5374E+01,  0.0000E+00
 -89.000, -165.000,  4.5750E-01,  1.5278E+01,  0.0000E+00
 -89.000, -162.000,  4.5735E-01,  1.5181E+01,  0.0000E+00
 -89.000, -159.000,  4.5718E-01,  1.5083E+01,  0.0000E+00
 -89.000, -156.000,  4.5701E-01,  1.4986E+01,  0.0000E+00
 -89.000, -153.000,  4.5682E-01,  1.4889E+01,  0.0000E+00
 -89.000, -150.000,  4.5662E-01,  1.4791E+01,  0.0000E+00
 -89.000, -147.000,  4.5642E-01,  1.4695E+01,  0.0000E+00
 -89.000, -144.000,  4.5620E-01,  1.4600E+01,  0.0000E+00
 -89.000, -141.000,  4.5598E-01,  1.4507E+01,  0.0000E+00
 -89.000, -138.000,  4.5575E-01,  1.4414E+01,  0.0000E+00
 -89.000, -135.000,  4.5551E-01,  1.4323E+01,  0.0000E+00
 -89.000, -132.000,  4.5527E-01,  1.4235E+01,  0.0000E+00
 -89.000, -129.000,  4.5502E-01,  1.4148E+01,  0.0000E+00
 -89.000, -126.000,  4.5477E-01,  1.4063E+01,  0.0000E+00
 -89.000, -123.000,  4.5451E-01,  1.3982E+01,  0.0000E+00
 -89.000, -120.000,  4.5425E-01,  1.3903E+01,  0.0000E+00
 -89.000, -117.000,  4.5398E-01,  1.3826E+01,  0.0000E+00
 -89.000, -114.000,  4.5371E-01,  1.3752E+01,  0.0000E+00
 -89.000, -111.000,  4.5345E-01,  1.3681E+01,  0.0000E+00
 -89.000, -108.000,  4.5318E-01,  1.3614E+01,  0.0000E+00
 -89.000, -105.000,  4.5291E-01,  1.3549E+01,  0.0000E+00
 -89.000, -102.000,  4.5264E-01,  1.3488E+01,  0.0000E+00
 -89.000,  -99.000,  4.5237E-01,  1.3430E+01,  0.0000E+00
 -89.000,  -96.000,  4.5211E-01,  1.3377E+01,  0.0000E+00
 -89.000,  -93.000,  4.5185E-01,  1.3326E+01,  0.0000E+00
 -89.000,  -90.000,  4.5159E-01,  1.3279E+01,  0.0000E+00
 -89.000,  -87.000,  4.5134E-01,  1.3235E+01,  0.0000E+00
 -89.000,  -84.000,  4.5109E-01,  1.3196E+01,  0.0000E+00
 -89.000,  -81.000,  4.5085E-01,  1.3160E+01,  0.0000E+00
 -89.000,  -78.000,  4.5061E-01,  1.3129E+01,  0.0000E+00
 -89.000,  -75.000,  4.5038E-01,  1.3100E+01,  0.0000E+00
 -89.000,  -72.000,  4.5016E-01,  1.3075E+01,  0.0000E+00
 -89.000,  -69.000,  4.4995E-01,  1.3055E+01,  0.0000E+00
 -89.000,  -66.000,  4.4974E-01,  1.3038E+01,  0.0000E+00
