lat,lon,B_Gauss,L_8R_3_dE_n,Flux_cm_u-2_s_u-1_50MeV
 -89.000, -180.000,  3.4074E-01,  1.8494E+01,  0.0000E+00
 -89.000, -177.000,  3.4067E-01,  1.8386E+01,  0.0000E+00
 -89.000, -174.000,  3.4059E-01,  1.8273E+01,  0.0000E+00
 -89.000, -171.000,  3.4050E-01,  1.8158E+01,  0.0000E+00
 -89.000, -168.000,  3.4041E-01,  1.8042E+01,  0.0000E+00
 -89.000, -165.000,  3.4030E-01,  1.7924E+01,  0.0000E+00
 -89.000, -162.000,  3.4019E-01,  1.7806E+01,  0.0000E+00
 -89.000, -159.000,  3.4008E-01,  1.7687E+01,  0.0000E+00
 -89.000, -156.000,  3.3995E-01,  1.7569E+01,  0.0000E+00
 -89.000, -153.000,  3.3982E-01,  1.7451E+01,  0.0000E+00
 -89.000, -150.000,  3.3968E-01,  1.7334E+01,  0.0000E+00
 -89.000, -147.000,  3.3954E-01,  1.7218E+01,  0.0000E+00
 -89.000, -144.000,  3.3939E-01,  1.7103E+01,  0.0000E+00
 -89.000, -141.000,  3.3924E-01,  1.6991E+01,  0.0000E+00
 -89.000, -138.000,  3.3908E-01,  1.6879E+01,  0.0000E+00
 -89.000, -135.000,  3.3892E-01,  1.6771E+01,  0.0000E+00
 -89.000, -132.000,  3.3875E-01,  1.6665E+01,  0.0000E+00
 -89.000, -129.000,  3.3859E-01,  1.6562E+01,  0.0000E+00
 -89.000, -126.000,  3.3842E-01,  1.6461E+01,  0.0000E+00
 -89.000, -123.000,  3.3824E-01,  1.6365E+01,  0.0000E+00
 -89.000, -120.000,  3.3807E-01,  1.6270E+01,  0.0000E+00
 -89.000, -117.000,  3.3789E-01,  1.6179E+01,  0.0000E+00
 -89.000, -114.000,  3.3771E-01,  1.6093E+01,  0.0000E+00
 -89.000, -111.000,  3.3754E-01,  1.6010E+01,  0.0000E+00
 -89.000, -108.000,  3.3736E-01,  1.5930E+01,  0.0000E+00
 -89.000, -105.000,  3.3718E-01,  1.5855E+01,  0.0000E+00
 -89.000, -102.000,  3.3701E-01,  1.5784E+01,  0.0000E+00
 -89.000,  -99.000,  3.3683E-01,  1.5717E+01,  0.0000E+00
 -89.000,  -96.000,  3.3666E-01,  1.5654E+01,  0.0000E+00
 -89.000,  -93.000,  3.3649E-01,  1.5596E+01,  0.0000E+00
 -89.000,  -90.000,  3.3633E-01,  1.5542E+01,  0.0000E+00
 -89.000,  -87.000,  3.3616E-01,  1.5493E+01,  0.0000E+00
 -89.000,  -84.000,  3.3601E-01,  1.5448E+01,  0.0000E+00
 -89.000,  -81.000,  3.3585E-01,  1.5407E+01,  0.0000E+00
 -89.000,  -78.000,  3.3570E-01,  1.5371E+01,  0.0000E+00
 -89.000,  -75.000,  3.3556E-01,  1.5340E+01,  0.0000E+00
 -89.000,  -72.000,  3.3542E-01,  1.5313E+01,  0.0000E+00
 -89.000,  -69.000,  3.3528E-01,  1.5291E+01,  0.0000E+00
 -89.000,  -66.000,  3.3516E-01,  1.5274E+01,  0.0000E+00
 -89.000,  -63.000,  3.3503E-01,  1.5262E+01,  0.0000E+00
 -89.000,  -60.000,  3.3492E-01,  1.5254E+01,  0.0000E+00
 -89.000,  -57.000,  3.3481E-01,  1.5252E+01,  0.0000E+00
 -89.000,  -54.000,  3.3472E-01,  1.5254E+01,  0.0000E+00
 -89.000,  -51.000,  3.3462E-01,  1.5260E+01,  0.0000E+00
 -89.000,  -48.000,  3.3454E-01,  1.5271E+01,  0.0000E+00
 -89.000,  -45.000,  3.3447E-01,  1.5287E+01,  0.0000E+00
 -89.000,  -42.000,  3.3440E-01,  1.5307E+01,  0.0000E+00
 -89.000,  -39.000,  3.3434E-01,  1.5332E+01,  0.0000E+00
 -89.000,  -36.000,  3.3429E-01,  1.5362E+01,  0.0000E+00
 -89.000,  -33.000,  3.3426E-01,  1.5397E+01,  0.0000E+00
 -89.000,  -30.000,  3.3422E-01,  1.5436E+01,  0.0000E+00
 -89.000,  -27.000,  3.3420E-01,  1.5479E+01,  0.0000E+00
 -89.000,  -24.000,  3.3419E-01,  1.5527E+01,  0.0000E+00
 -89.000,  -21.000,  3.3419E-01,  1.5580E+01,  0.0000E+00
 -89.000,  -18.000,  3.3419E-01,  1.5636E+01,  0.0000E+00
 -89.000,  -15.000,  3.3421E-01,  1.5698E+01,  0.0000E+00
 -89.000,  -12.000,  3.3424E-01,  1.5763E+01,  0.0000E+00
 -89.000,   -9.000,  3.3427E-01,  1.5832E+01,  0.0000E+00
 -89.000,   -6.000,  3.3431E-01,  1.5906E+01,  0.0000E+00
 -89.000,   -3.000,  3.3437E-01,  1.5983E+01,  0.0000E+00
 -89.000,    0.000,  3.3443E-01,  1.6065E+01,  0.0000E+00
 -89.000,    3.000,  3.3450E-01,  1.6150E+01,  0.0000E+00
 -89.000,    6.000,  3.3458E-01,  1.6239E+01,  0.0000E+00
 -89.000,    9.000,  3.3466E-01,  1.6331E+01,  0.0000E+00
 -89.000,   12.000,  3.3476E-01,  1.6427E+01,  0.0000E+00
 -89.000,   15.000,  3.3486E-01,  1.6525E+01,  0.0000E+00
 -89.000,   18.000,  3.3497E-01,  1.6627E+01,  0.0000E+00
 -89.000,   21.000,  3.3509E-01,  1.6732E+01,  0.0000E+00
 -89.000,   24.000,  3.3521E-01,  1.6839E+01,  0.0000E+00
 -89.000,   27.000,  3.3535E-01,  1.6949E+01,  0.0000E+00
 -89.000,   30.000,  3.3548E-01,  1.7061E+01,  0.0000E+00
 -89.000,   33.000,  3.3563E-01,  1.7175E+01,  0.0000E+00
