inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,access_frequency
45,2.3294753086419755,30000,870000,613410.0914324416,5070000,29220000,7373150.406504065,2953,2.9957244195498654e-07
46,2.324922839506173,30000,900000,621685.0068775791,30000,29220000,7488895.76883385,2908,2.989869906772342e-07
47,2.319097222222222,30000,900000,627463.465553236,30000,29220000,7579484.85903237,2874,2.9823781149977136e-07
48,2.313966049382716,30000,900000,633793.5892920042,60000,35100000,7674767.441860465,2839,2.9757793844942333e-07
49,2.3097222222222222,30000,930000,639615.3846153846,60000,35070000,7761140.007125044,2808,2.97032178783722e-07
50,2.303780864197531,30000,930000,646255.4112554112,90000,35070000,7863875.857091303,2772,2.962681152517401e-07
51,2.29633487654321,30000,930000,653119.9707388441,60000,35070000,7973787.047200878,2734,2.953105551110095e-07
52,2.291936728395062,30000,960000,655465.2445752114,30000,35070000,8008421.633554084,2719,2.947449496392826e-07
53,2.28695987654321,30000,960000,661092.936802974,60000,35070000,8098828.560803273,2690,2.9410492239496017e-07
54,2.282137345679012,30000,960000,665388.0764904387,60000,35070000,8172704.4261065265,2667,2.934847409566631e-07
55,2.2778935185185185,30000,960000,670435.276305829,60000,35070000,8253953.048087846,2642,2.9293898129096173e-07
56,2.271450617283951,30000,990000,674410.0801832761,30000,40980000,8331016.042780749,2619,2.92110418889397e-07
57,2.2663966049382718,30000,990000,679394.7571318427,60000,40980000,8413212.495179329,2594,2.914604687420617e-07
58,2.2595293209876544,30000,990000,682069.099378882,60000,40980000,8474423.300970873,2576,2.905773303739267e-07
59,2.2527006172839505,30000,1020000,686133.9600470036,30000,40980000,8553197.49216301,2553,2.8969915345729816e-07
60,2.247608024691358,30000,1050000,687274.8721981911,30000,40980000,8588804.09126672,2543,2.8904424185845654e-07
61,2.2397376543209875,30000,1050000,691667.9904686259,30000,40950000,8676960.667461263,2518,2.880321057511558e-07
62,2.232368827160494,30000,1080000,695190.2282739287,60000,40950000,8752620.192307692,2497,2.8708446851343803e-07
63,2.224575617283951,30000,1110000,696669.3515908176,90000,40950000,8804431.9097502,2483,2.860822553091501e-07
64,2.2180555555555554,30000,1140000,699132.549655452,30000,40920000,8852068.126520682,2467,2.852437700045725e-07
65,2.2127314814814816,30000,1170000,702293.8775510204,30000,40920000,8917888.934258882,2450,2.8455908969669257e-07
66,2.2059027777777778,30000,1170000,700984.8794442174,30000,40890000,8933671.300081765,2447,2.83680912780064e-07
67,2.2033564814814817,30000,1200000,703185.0771154647,120000,40890000,9118548.790658882,2399,2.833534569806432e-07
68,2.190162037037037,30000,1230000,699412.7310061601,30000,40890000,8988093.67296631,2435,2.8165664056546256e-07
69,2.180516975308642,30000,1260000,699492.5742574257,30000,40920000,9032042.921997523,2424,2.8041627768886856e-07
70,2.171952160493827,30000,1290000,696745.0495049505,30000,41340000,9035063.970284771,2424,2.7931483545445313e-07
71,2.16508487654321,30000,1320000,696265.5086848636,120000,41310000,9060012.412081093,2418,2.784316970863181e-07
