Inclination [°],Percentage of access [%],Minimum duration [s],Maximum duration [s],Average contact duration [min],Minimum wating time [s],Maximum waiting time [s],Average waiting time [s],Frequency
45,7.67039609053498,28000,868000,10143.0,5075000,29193000,7335381.443298969,98
46,7.65715020576131,28000,876000,10337.0,5068000,29198000,7491463.157894737,96
47,7.6261574074073994,50000,887000,10403.0,5057000,29207000,7574319.14893617,95
48,7.61111111111111,33000,895000,10493.0,5049000,35078000,7657612.903225807,94
49,7.5972222222222205,82000,901000,10702.0,5038000,35069000,7827725.274725275,92
50,7.591949588477361,71000,907000,10694.0,5028000,35059000,7828802.197802198,92
51,7.5855195473251,58000,913000,10685.0,5019000,35050000,7830000.0,92
52,7.57060185185185,27000,925000,10664.0,5009000,35040000,7831890.10989011,92
53,7.54539609053498,7000,937000,10987.0,5001000,35045000,8101761.363636363,89
54,7.5447530864197505,156000,949000,11369.0,4991000,35044000,8388400.0,86
55,7.5468106995884705,121000,959000,11372.0,4974000,35043000,8388870.588235294,86
56,7.53292181069958,74000,970000,11221.0,101000,35050000,8293232.558139535,87
57,7.509002057613159,72000,979000,11315.0,245000,40979000,8393647.05882353,86
58,7.4821244855967,86000,989000,11275.0,80000,40971000,8396741.176470589,86
59,7.444444444444439,20000,1007000,11350.0,213000,40963000,8500821.42857143,85
60,7.4260545267489695,132000,1027000,11595.0,314000,40955000,8710548.780487806,83
61,7.41795267489712,82000,1048000,11582.0,389000,40946000,8711914.634146342,83
62,7.41345164609053,94000,1071000,11716.0,455000,40935000,8820506.172839506,82
63,7.43338477366255,54000,1093000,11748.0,537000,40924000,8819185.185185185,82
64,7.38335905349794,75000,1116000,11813.0,221000,40911000,8934887.5,81
65,7.367412551440319,211000,1139000,11935.0,297000,40904000,9050139.240506329,80
66,7.35545267489712,167000,1162000,11625.0,163000,40889000,8828370.370370371,82
67,7.40779320987654,81000,1188000,11566.0,24000,40873000,8716268.292682927,83
68,7.389274691358021,266000,1218000,11970.0,59000,40863000,9049582.278481012,80
69,7.37088477366255,248000,1242000,11940.0,79000,40871000,9051886.075949367,80
70,7.274305555555551,231000,1277000,11784.0,188000,41347000,9061860.759493671,80
71,7.26144547325102,175000,1311000,11476.0,140000,40873000,8839765.432098765,82
72,7.19868827160493,123000,1347000,11517.0,311000,41271000,8956737.5,81
73,7.18287037037037,37000,1381000,11352.0,279000,40810000,8848024.691358024,82
74,7.18389917695473,161000,1414000,11637.0,4651000,40852000,9072227.848101266,80
75,7.107896090534969,143000,1447000,11514.0,4628000,41157000,9079974.683544304,80
76,7.07831790123456,126000,1483000,11325.0,4605000,40835000,8969575.0,81
77,6.98199588477366,65000,1518000,11034.0,95000,41113000,8868283.950617284,82
78,6.9440586419753,85000,1549000,11110.0,4559000,40688000,8982975.0,81
79,6.90226337448559,71000,1579000,11043.0,4533000,40686000,8987137.5,81
80,6.83629115226337,54000,1606000,10938.0,4502000,40700000,8993712.5,81
81,6.72633744855967,43000,1633000,10762.0,4459000,40741000,9004550.0,81
82,6.605838477366251,31000,1661000,10569.0,4422000,40778000,9016250.0,81
83,6.53279320987654,21000,1686000,10325.0,4393000,40723000,8911938.271604938,82
84,6.53176440329218,12000,1706000,10077.0,4271000,40695000,8697265.060240963,84
85,6.66139403292181,4000,1716000,10038.0,4173000,36209000,8480705.88235294,86
86,6.57368827160493,2000,1740000,12715.0,353000,36185000,10932530.303030305,67
87,6.36471193415637,5000,1772000,15563.0,27000,36168000,13907153.846153846,53
88,6.364197530864189,26000,1801000,19638.0,16000,39073000,17638707.31707317,42
89,6.29179526748971,819000,1846000,22038.0,3870000,39005000,20104527.777777776,37
90,6.287808641975309,224000,1799000,21444.0,3821000,39156000,19560486.486486487,38
91,6.31712962962963,38000,1754000,19968.0,6000,39241000,18085000.0,41
92,6.383487654320979,2000,1717000,17602.0,12000,39325000,15712630.43478261,47
93,6.343235596707809,4000,1685000,14946.0,449000,39403000,13384685.185185185,55
94,6.41473765432098,3000,1639000,12408.0,3773000,39478000,10418272.727272728,67
95,6.443672839506171,5000,1612000,9278.0,3781000,39554000,7722730.337078651,90
96,6.53176440329218,13000,1565000,9405.0,3800000,39625000,7714449.438202247,90
97,6.536394032921811,22000,1532000,9518.0,3819000,39691000,7801090.909090909,89
98,6.58937757201646,31000,1489000,9595.0,3830000,39752000,7795818.181818182,89
99,6.66332304526749,43000,1443000,9702.0,3846000,39812000,7788738.636363637,89
