ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,fluence,avg_fluence,fluence_rep
6,83,945.872,99.205,108.165,10000,10000,10000.0,30000,13280000,77829.855,18691,276472.643,14791.752,0.959
7,83,1737.801,103.251,402.297,10000,150000,98801.876,10000,200000,134500.355,7036,60483.907,8596.348,0.245
6,85,830.643,98.704,86.388,10000,240000,152482.124,10000,11630000,1524253.578,979,990.616,1011.865,0.003
7,85,1610.1,102.523,373.31,10000,40000,29801.348,10000,60000,46037.884,21646,735894.712,33996.799,2.981
7,86,1548.111,102.181,357.962,10000,30000,21219.897,20000,90000,35095.886,29150,682135.924,23400.889,2.763
7,87,1487.311,101.852,341.278,0,30000,15823.182,20000,70000,28223.188,37270,1364459.341,36610.124,5.527
7,88,1427.665,101.535,316.03,10000,20000,14111.475,10000,60000,28308.181,38699,1122010.69,28993.273,4.545
6,89,613.214,97.812,44.38,10000,10000,10000.0,10000,21850000,204079.29,7669,45649.076,5952.415,0.158
7,89,1369.138,101.231,275.85,10000,20000,10864.768,10000,400000,26552.47,43873,1128640.299,25725.168,4.572
7,90,1311.697,100.939,256.383,0,20000,10764.651,10000,100000,29122.828,41156,951543.077,23120.397,3.854
6,91,510.502,97.415,29.843,10000,10000,10000.0,20000,26690000,308281.613,5157,20404.621,3956.684,0.07
8,91,1965.347,104.628,413.368,10000,30000,10023.434,10000,180000,13012.404,71263,4251973.986,59665.941,19.685
7,92,1199.946,100.386,207.679,10000,20000,10006.134,10000,140000,35764.554,35865,694679.024,19369.274,2.814
7,93,1145.577,100.124,182.615,10000,10000,10000.0,10000,200000,42022.183,31556,581839.207,18438.306,2.356
8,93,1845.396,103.889,408.101,10000,20000,13055.39,10000,20000,17335.369,54016,3330540.698,61658.41,15.419
7,94,1092.173,99.872,158.171,0,10000,9999.634,10000,450000,50059.637,27333,485252.724,17753.364,1.965
6,95,315.956,96.703,3.877,10000,10000,10000.0,80000,40150000,2436995.515,670,536.469,800.701,0.001
7,95,1039.707,99.629,136.481,10000,20000,10089.843,10000,750000,60142.472,23374,403660.314,17269.629,1.635
8,95,1729.67,103.204,402.256,20000,40000,25806.571,20000,40000,35139.6,26935,1046345.623,38847.062,4.844
7,96,988.154,99.394,121.064,10000,10000,10000.0,20000,5630000,68389.024,20920,335141.978,16020.171,1.357
7,97,937.488,99.168,107.708,10000,20000,11070.005,50000,8470000,86571.496,16813,267629.502,15918.01,1.084
8,97,1617.935,102.567,374.38,10000,4600000,67855.045,10000,7050000,104170.775,9534,174913.613,18346.298,0.809
7,99,838.723,98.738,86.319,10000,20000,14103.63,80000,11240000,141119.621,10576,129743.365,12267.716,0.525
8,99,1509.974,101.973,340.005,10000,30000,21087.143,10000,60000,37832.812,27862,1059795.581,38037.311,4.906
7,100,790.578,98.534,77.268,10000,10000,10000.0,10000,14340000,112954.834,13352,145227.682,10876.848,0.588
7,101,743.228,98.337,68.813,10000,40000,23767.739,180000,16150000,304358.256,5003,26167.421,5230.346,0.106
8,101,1405.588,101.42,294.872,10000,20000,11008.75,10000,1150000,24458.776,46285,1308365.345,28267.588,6.057
7,102,696.654,98.146,60.474,10000,10000,10000.0,10000,19010000,147100.2,10450,85900.575,8220.15,0.347
7,103,650.834,97.961,52.083,10000,570000,334572.49,10000,22190000,5772761.194,269,199.832,742.872,0.0
8,103,1304.592,100.903,256.377,10000,10000,10000.0,10000,480000,27055.371,44302,978697.424,22091.495,4.531
9,103,1931.589,104.417,412.702,10000,1400000,1109097.978,10000,1660000,1444267.912,643,526.924,819.478,0.002
7,104,605.75,97.783,44.38,10000,10000,10000.0,10000,22590000,204063.641,7669,45645.306,5951.924,0.184
9,104,1878.282,104.089,409.947,10000,30000,23882.071,20000,40000,31462.189,29662,1482605.597,49983.332,7.721
8,105,1206.812,100.419,207.285,10000,20000,11064.125,10000,220000,39643.221,32374,652289.634,20148.564,3.019
7,106,517.714,97.442,29.907,10000,10000,10000.0,60000,27130000,307681.439,5168,20405.066,3948.348,0.082
9,106,1774.188,103.464,402.968,0,20000,10143.485,10000,40000,13770.011,68648,3068211.839,44694.846,15.98
7,107,474.726,97.28,23.454,10000,10000,10000.0,90000,32260000,395098.716,4053,12310.195,3037.304,0.049
8,107,1112.088,99.965,158.275,10000,30000,17266.414,30000,220000,86370.983,15840,222538.239,14049.131,1.03
9,107,1723.36,103.167,397.835,0,20000,15741.436,10000,30000,21848.366,43672,2111287.838,48344.198,10.996
7,108,432.403,97.123,23.535,10000,10000,10000.0,70000,30370000,393644.859,4067,12303.681,3025.247,0.049
7,109,390.728,96.971,17.899,10000,10000,10000.0,60000,32540000,520591.849,3093,6413.355,2073.506,0.025
8,109,1020.269,99.54,120.978,10000,430000,269047.619,10000,5100000,1842744.845,777,640.879,824.813,0.002
